"id";"seed";"name";"region";"url";"round_out"
1;1;"Kansas";1;;0
2;16;"Lehigh";1;;0
3;8;"UNLV";1;;0
4;9;"Northern Iowa";1;;0
5;5;"Michigan St.";1;;0
6;12;"New Mexico St.";1;;0
7;4;"Maryland";1;;0
8;13;"Houston";1;;0
9;6;"Tennessee";1;;0
10;11;"San Diego St.";1;;0
11;3;"Georgetown";1;;0
12;14;"Ohio";1;;0
13;7;"Oklahoma St.";1;;0
14;10;"Georgia Tech";1;;0
15;2;"Ohio St.";1;;0
16;15;"UCSB";1;;0
17;1;"Syracuse";2;;0
18;16;"Vermont";2;;0
19;8;"Gonzaga";2;;0
20;9;"Florida St.";2;;0
21;5;"Butler";2;;0
22;12;"UTEP";2;;0
23;4;"Vanderbilt";2;;0
24;13;"Murray St.";2;;0
25;6;"Xavier";2;;0
26;11;"Minnesota";2;;0
27;3;"Pittsburgh";2;;0
28;14;"Oakland";2;;0
29;7;"BYU";2;;0
30;10;"Florida";2;;0
31;2;"Kansas St.";2;;0
32;15;"North Texas";2;;0
33;1;"Kentucky";3;;0
34;16;"E. Tennessee St.";3;;0
35;8;"Texas";3;;0
36;9;"Wake Forest";3;;0
37;5;"Temple";3;;0
38;12;"Cornell";3;;0
39;4;"Wisconsin";3;;0
40;13;"Wofford";3;;0
41;6;"Marquette";3;;0
42;11;"Washington";3;;0
43;3;"New Mexico";3;;0
44;14;"Montana";3;;0
45;7;"Clemson";3;;0
46;10;"Missouri";3;;0
47;2;"West Virginia";3;;0
48;15;"Morgan St.";3;;0
49;1;"Duke";4;;0
50;16;"Ark-PB/Winthrop";4;;0
51;8;"California";4;;0
52;9;"Louisville";4;;0
53;5;"Texas A&M";4;;0
54;12;"Utah St.";4;;0
55;4;"Purdue";4;;0
56;13;"Siena";4;;0
57;6;"Notre Dame";4;;0
58;11;"Old Dominion";4;;0
59;3;"Baylor";4;;0
60;14;"Sam Houston St.";4;;0
61;7;"Richmond";4;;0
62;10;"St. Mary's";4;;0
63;2;"Villanova";4;;0
64;15;"Robert Morris";4;;0
